Assignment,Presentation,Attendance,Quiz,MidTerm,Final,CGPA
9,10,10,7,14,40,4.00
5,5,4,4,6,14,1.75
9,9,10,5,11,30,3.50
5,2,5,5,10,15,2.00
1,2,2,1,4,1,1.25
8,7,8,7,12,26,3.25
6,9,8,4,12,28,3.25
7,8,7,6,13,21,3.00
4,1,1,5,10,25,2.25
5,7,5,0,2,8,1.25
7,4,5,5,6,14,2.00
4,4,3,4,5,15,1.75
1,2,1,1,2,3,1.25
3,6,4,0,0,9,1.25
4,2,2,1,4,4,1.25
0,2,3,1,1,5,1.25
7,8,7,5,12,31,3.50
3,4,2,3,3,11,1.25
7,10,9,5,12,13,2.75
2,4,5,0,11,16,1.75
8,7,7,5,8,25,3.00
10,10,10,6,8,32,3.75
5,8,8,6,11,17,2.75
0,1,0,0,2,0,1.25
1,2,2,1,4,12,1.25
2,2,3,4,7,9,1.25
10,9,7,4,12,30,3.50
7,7,8,7,17,31,3.75
8,6,7,6,11,25,3.00
10,10,9,7,12,30,3.75
10,9,10,5,17,35,4.00
2,3,3,1,9,13,1.50
7,7,7,4,14,24,3.00
6,7,9,4,8,12,2.25
9,8,9,1,10,29,3.25
7,5,2,5,15,29,3.00
8,6,6,3,9,19,2.50
4,5,5,1,5,10,1.50
5,4,5,3,8,17,2.00
9,8,7,4,13,36,3.75
8,7,7,6,11,23,3.00
8,7,5,6,14,26,3.25
0,1,0,2,0,5,1.25
3,3,2,2,1,13,1.25
8,4,7,5,7,20,2.50
7,8,5,6,12,11,2.25
3,0,1,2,7,4,1.25
3,4,2,2,9,14,1.50
8,6,5,5,12,25,3.00
4,3,4,4,4,14,1.50
8,8,9,4,6,26,3.00
6,8,10,2,13,16,2.75
3,5,3,2,10,16,1.75
8,7,6,2,12,24,2.75
5,4,5,2,6,22,2.00
3,5,6,4,5,18,2.00
7,5,3,2,4,18,1.75
4,5,6,3,5,13,1.75
5,3,5,4,3,11,1.50
5,5,5,0,4,8,1.25
2,1,3,3,2,6,1.25
10,7,10,5,13,25,3.50
5,4,6,5,4,16,2.00
5,7,6,5,11,23,2.75
7,4,5,3,7,21,2.25
6,7,7,0,6,11,1.75
5,2,3,1,6,10,1.25
8,8,8,5,11,25,3.25
10,9,10,8,15,32,4.00
2,3,0,1,8,17,1.50
8,8,6,6,12,26,3.25
6,6,5,5,10,30,3.00
3,4,3,3,7,13,1.50
6,9,9,5,11,31,3.50
7,7,8,3,7,18,2.50
3,0,3,2,3,14,1.25
7,10,9,4,9,27,3.25
5,6,6,4,6,14,2.00
0,3,0,2,1,4,1.25
8,6,6,5,10,26,3.00
3,4,4,2,6,14,1.50
5,3,2,1,3,13,1.25
5,8,9,3,4,9,1.75
6,8,7,5,16,27,3.25
8,6,7,4,14,32,3.50
7,4,5,4,6,15,2.00
9,7,8,2,11,27,3.00
5,4,4,6,8,19,2.25
7,10,8,6,13,28,3.50
2,2,3,1,4,13,1.25
5,5,6,3,14,24,2.75
4,5,6,1,0,10,1.25
6,7,6,5,13,33,3.50
1,3,3,1,7,7,1.25
7,5,3,5,8,28,2.75
6,6,8,4,2,12,1.75
7,6,7,5,7,16,2.25
7,7,7,9,13,26,3.25
7,5,7,6,6,23,2.50
10,10,8,8,14,39,4.00
9,10,10,8,16,37,4.00
5,5,7,3,8,25,2.50
2,3,2,4,5,16,1.50
5,4,1,3,4,10,1.25
1,2,1,2,0,1,1.25
8,7,7,4,8,22,2.75
7,9,10,6,14,22,3.25
3,3,2,4,8,15,1.75
3,3,3,2,10,6,1.25
8,8,5,4,15,32,3.50
9,9,9,4,10,23,3.00
8,10,8,7,17,30,4.00
9,8,7,9,17,24,3.50
10,8,10,5,14,36,4.00
10,10,10,7,9,31,3.75
2,0,4,0,4,1,1.25
3,1,5,3,0,7,1.25
9,7,10,6,7,21,3.00
6,9,6,6,4,22,2.50
3,5,1,3,5,5,1.25
5,6,7,2,2,17,1.75
6,7,5,4,14,27,3.00
6,4,3,3,9,12,1.75
2,0,2,1,6,8,1.25
3,6,4,2,5,15,1.75
7,10,8,9,9,30,3.50
9,8,10,7,10,28,3.50
5,4,2,1,8,15,1.75
6,6,5,5,14,29,3.25
2,2,1,0,6,9,1.25
6,4,3,8,10,22,2.50
9,8,9,2,18,26,3.50
1,0,0,1,0,8,1.25
10,10,9,6,11,33,3.75
9,9,10,7,9,31,3.75
6,5,5,5,10,20,2.50
2,2,3,4,2,4,1.25
7,7,8,5,11,17,2.75
3,2,1,0,2,12,1.25
7,9,8,7,12,23,3.25
8,8,8,6,12,31,3.50
4,5,6,5,6,16,2.00
4,4,4,5,11,16,2.00
4,5,3,3,4,17,1.75
9,10,8,5,13,35,4.00
2,2,2,4,6,14,1.50
7,6,7,6,8,16,2.50
5,5,5,4,13,19,2.50
2,0,3,0,3,8,1.25
7,7,5,6,8,22,2.75
5,7,7,1,10,16,2.25
2,3,1,5,5,4,1.25
3,5,4,2,6,23,2.00
1,1,1,2,5,14,1.25
6,3,4,4,12,24,2.50
10,8,9,7,15,34,4.00
10,7,8,6,11,29,3.50
4,4,5,3,8,11,1.75
4,3,1,2,6,12,1.25
6,10,7,5,7,33,3.25
5,4,8,1,10,16,2.00
10,8,8,6,12,33,3.75
6,8,7,3,11,28,3.00
9,6,6,6,13,28,3.25
6,5,6,4,10,17,2.25
4,6,6,4,7,17,2.00
4,5,6,3,6,29,2.50
6,6,5,5,5,14,2.00
0,0,0,1,4,2,1.25
8,5,9,6,12,30,3.50
5,7,8,5,7,22,2.50
10,10,10,5,15,33,4.00
2,5,4,5,5,9,1.50
0,0,0,0,0,6,1.25
4,4,6,4,13,18,2.25
10,10,10,6,18,32,4.00
1,3,2,2,8,15,1.50
3,0,3,5,7,17,1.75
8,9,9,5,12,29,3.50
9,9,10,5,16,32,4.00
5,5,3,7,14,31,3.25
6,10,9,5,12,32,3.50
9,7,7,7,14,29,3.50
6,6,6,5,10,17,2.50
6,7,7,6,9,25,3.00
10,6,10,4,16,35,4.00
8,9,10,5,16,38,4.00
8,10,10,6,13,33,4.00
3,3,4,3,7,10,1.50
7,9,9,4,9,24,3.00
6,6,8,3,6,20,2.25
6,7,6,4,10,9,2.00
9,8,7,6,9,32,3.50
7,7,8,8,17,35,4.00
9,10,8,7,12,34,4.00
8,7,10,2,16,34,3.75
3,3,1,6,5,11,1.25
3,3,4,0,5,6,1.25
2,3,4,1,6,9,1.25
1,1,2,1,0,8,1.25
4,4,2,3,8,16,1.75
7,10,9,5,13,32,3.75
2,7,3,5,7,13,1.75
4,1,3,0,2,0,1.25
0,2,1,1,3,8,1.25
2,4,4,0,1,7,1.25
10,9,9,6,11,36,4.00
5,7,5,2,8,17,2.00
3,2,1,2,3,5,1.25
7,5,8,3,2,9,1.50
5,6,7,4,14,33,3.25
6,3,4,3,9,21,2.25
5,4,5,3,9,23,2.25
1,0,0,0,1,4,1.25
3,2,3,0,0,6,1.25
3,7,6,1,7,27,2.50
3,3,4,2,4,7,1.25
0,1,0,1,2,14,1.25
6,8,8,3,10,25,3.00
7,5,8,7,15,36,3.75
10,10,9,7,17,32,4.00
3,3,3,0,4,8,1.25
10,10,10,6,20,33,4.00
8,9,10,7,12,29,3.75
6,6,5,4,11,24,2.75
4,3,6,1,6,7,1.25
3,2,2,3,7,10,1.25
9,7,10,4,13,18,3.00
6,6,5,7,9,16,2.25
7,6,6,5,13,27,3.00
4,5,4,2,7,18,2.00
3,3,5,0,2,8,1.25
1,0,1,2,5,3,1.25
9,10,10,7,13,19,3.25
4,4,5,3,5,15,1.75
6,5,6,2,8,16,2.00
6,9,8,3,13,17,2.75
6,8,7,6,8,20,2.75
7,6,6,7,13,26,3.25
10,9,10,7,13,25,3.50
3,5,3,5,7,10,1.50
6,7,3,6,14,23,2.75
10,7,7,5,11,20,3.00
2,2,3,0,4,8,1.25
9,9,10,7,10,26,3.50
10,7,10,5,12,33,3.75
5,3,2,3,10,11,1.50
3,1,2,2,2,5,1.25
3,4,5,1,6,12,1.50
6,6,8,3,4,3,1.50
10,9,10,6,12,33,4.00
6,9,7,8,15,35,4.00
5,3,4,5,8,19,2.00
4,4,5,1,3,13,1.50
6,6,2,4,5,21,2.00
2,1,3,0,3,4,1.25
2,2,2,1,5,7,1.25
5,5,5,3,2,15,1.75
6,4,5,5,9,18,2.25
5,6,6,3,7,11,1.75
2,4,5,2,8,17,1.75
1,1,0,1,1,2,1.25
3,3,2,3,11,22,2.00
4,4,2,2,3,14,1.25
3,5,4,1,7,10,1.50
7,8,7,8,13,28,3.50
8,10,10,6,14,18,3.25
8,8,8,1,5,14,2.00
5,7,6,3,8,16,2.25
8,8,7,6,8,23,3.00
3,2,2,1,5,7,1.25
5,3,4,4,7,11,1.50
8,7,10,5,11,31,3.50
5,1,3,1,5,17,1.50
7,5,6,2,7,16,2.00
4,6,4,4,3,18,1.75
0,0,0,3,4,8,1.25
8,5,7,4,7,14,2.25
9,10,10,6,13,35,4.00
2,1,1,3,0,7,1.25
6,8,4,6,10,26,3.00
9,9,10,7,11,17,3.00
10,10,10,4,11,29,3.50
4,5,5,6,10,14,2.00
4,1,0,2,1,8,1.25
5,7,6,6,6,12,2.00
2,2,1,2,0,7,1.25
5,9,5,7,8,29,3.00
4,2,3,1,8,19,1.75
10,7,8,7,10,22,3.00
10,8,10,5,10,34,3.75
4,4,3,2,5,10,1.25
9,10,10,6,14,31,4.00
5,5,5,3,2,16,1.75
6,7,8,5,10,13,2.25
7,10,8,5,8,21,2.75
4,5,6,4,1,10,1.50
10,7,10,5,10,25,3.25
5,4,6,5,11,26,2.75
1,2,3,6,5,11,1.25
8,10,10,6,7,25,3.25
4,2,3,2,2,11,1.25
6,10,9,6,10,28,3.25
6,5,8,3,9,22,2.50
9,9,10,5,16,36,4.00
7,5,9,6,4,16,2.25
5,5,4,3,8,17,2.00
7,6,5,3,14,30,3.25
6,7,6,4,10,18,2.50
6,7,9,4,2,21,2.25
10,10,9,6,13,27,3.75
4,7,6,4,7,18,2.25
10,10,10,7,14,26,3.75
10,7,9,6,7,30,3.25
7,5,4,4,5,13,1.75
5,7,6,4,8,20,2.50
5,5,4,9,9,28,3.00
9,9,8,8,14,37,4.00
1,2,2,0,0,0,1.25
10,10,10,5,10,29,3.50
5,6,4,3,6,15,1.75
0,0,0,1,0,0,1.25
8,8,6,8,12,30,3.50
4,3,2,0,1,1,1.25
3,5,6,3,2,15,1.50
8,10,10,5,11,31,3.75
9,7,9,8,12,25,3.50
6,8,6,6,11,29,3.25
0,3,3,0,2,17,1.25
8,6,9,4,10,19,2.75
2,2,4,0,4,7,1.25
2,2,2,4,5,16,1.50
7,5,6,8,9,23,2.75
8,9,9,8,9,33,3.75
6,10,7,5,15,29,3.50
6,6,4,4,17,28,3.25
2,1,3,2,0,3,1.25
3,4,3,4,9,10,1.50
2,3,2,2,3,12,1.25
0,0,1,1,3,12,1.25
8,7,8,3,12,14,2.50
6,8,9,5,9,23,3.00
2,3,2,2,7,10,1.25
3,2,2,2,3,12,1.25
3,1,0,3,0,9,1.25
8,7,9,4,19,31,3.75
1,0,0,2,1,3,1.25
2,2,2,3,4,8,1.25
4,5,6,1,1,8,1.25
9,6,7,6,15,30,3.50
4,4,4,3,6,5,1.25
9,9,10,6,9,31,3.50
7,8,4,8,14,33,3.50
1,1,0,2,2,4,1.25
0,0,0,1,4,1,1.25
6,8,7,5,12,22,3.00
5,4,6,3,11,15,2.00
7,4,2,4,7,18,2.00
7,9,9,5,6,26,3.00
6,6,9,5,12,34,3.50
4,2,0,4,9,31,2.50
9,9,10,6,10,32,3.75
0,0,0,0,1,3,1.25
1,1,0,4,1,4,1.25
8,7,6,3,15,35,3.50
10,7,10,6,10,30,3.50
3,3,1,3,12,15,1.75
10,7,9,7,15,33,4.00
2,4,4,2,8,12,1.50
4,3,3,3,6,21,2.00
2,5,1,3,1,1,1.25
2,1,3,3,1,6,1.25
2,3,4,1,6,17,1.50
0,1,0,0,0,0,1.25
4,5,4,5,8,13,1.75
4,3,3,4,1,3,1.25
7,8,10,8,15,39,4.00
1,3,2,2,7,20,1.75
5,2,3,3,7,20,2.00
8,8,8,7,8,16,2.75
3,9,5,5,8,19,2.25
10,10,10,6,14,29,3.75
4,4,3,3,7,17,1.75
8,5,6,6,14,26,3.25
1,0,1,1,5,8,1.25
8,8,7,5,11,25,3.00
3,1,2,4,4,10,1.25
8,7,10,5,9,21,3.00
6,6,7,7,12,21,2.75
8,9,10,6,11,29,3.50
1,1,1,0,3,0,1.25
4,3,1,6,7,19,2.00
9,9,9,6,10,25,3.25
5,1,1,6,5,12,1.50
4,3,3,2,2,8,1.25
5,5,5,4,6,24,2.25
8,7,7,3,8,14,2.25
5,3,5,2,6,8,1.25
1,4,2,1,5,12,1.25
6,6,7,7,11,26,3.00
4,2,3,1,0,4,1.25
9,10,10,2,11,28,3.50
9,8,10,5,15,24,3.50
8,9,8,5,17,34,4.00
5,2,3,2,5,4,1.25
7,10,6,7,9,22,3.00
7,7,9,2,10,29,3.00
5,7,6,2,4,19,2.00
4,2,4,0,7,17,1.50
6,7,5,3,8,14,2.00
5,3,5,0,6,18,1.75
4,1,2,0,1,5,1.25
9,8,10,5,9,31,3.50
10,8,10,6,14,26,3.50
9,8,8,4,7,23,2.75
8,10,6,7,13,24,3.25
1,5,1,1,5,4,1.25
9,6,8,5,11,26,3.25
7,8,6,3,8,22,2.50
6,5,9,5,5,10,2.00
6,5,7,4,15,31,3.25
4,6,5,4,13,23,2.75
5,6,5,5,11,25,2.75
7,9,8,6,9,19,2.75
3,5,4,3,3,6,1.25
4,3,4,2,3,16,1.50
7,4,2,4,11,34,3.00
9,9,8,3,13,30,3.50
2,4,3,4,3,11,1.25
2,0,3,0,1,1,1.25
5,6,7,2,6,12,1.75
6,9,8,9,12,31,3.75
6,6,6,4,12,26,3.00
4,2,3,1,0,5,1.25
7,8,9,3,11,23,3.00
7,6,7,2,10,25,2.75
1,1,2,5,5,8,1.25
10,9,10,10,11,32,4.00
6,9,8,5,13,25,3.25
10,10,10,8,13,28,3.75
4,5,3,4,11,15,2.00
6,7,6,4,8,27,2.75
6,5,3,5,8,21,2.25
7,8,8,4,7,19,2.50
9,10,8,3,10,35,3.75
8,8,10,7,16,27,3.75
9,6,9,6,13,32,3.75
5,3,4,0,3,4,1.25
7,6,8,4,13,32,3.50
9,6,8,7,12,36,3.75
8,8,6,6,8,33,3.25
9,6,7,4,7,31,3.00
7,6,5,2,10,18,2.25
3,3,3,3,3,6,1.25
9,8,10,7,11,36,4.00
4,3,4,3,2,12,1.25
7,9,6,7,7,19,2.75
10,9,9,6,15,34,4.00
7,8,8,5,12,26,3.25
6,10,10,1,8,24,2.75
4,1,3,1,3,6,1.25
6,4,5,6,13,27,3.00
7,6,8,1,5,3,1.50
6,9,8,4,7,16,2.50
2,4,4,4,3,6,1.25
7,10,9,7,10,30,3.50
9,8,8,5,7,20,2.75
4,2,3,5,6,22,2.00
10,10,9,4,8,26,3.25
2,2,2,1,5,9,1.25
0,1,0,3,2,0,1.25
4,0,0,3,7,3,1.25
10,9,9,7,14,38,4.00
8,7,10,5,13,22,3.25
9,5,8,3,14,36,3.75
9,9,9,4,9,24,3.00
8,8,8,6,13,25,3.25
7,5,7,2,3,4,1.25
4,4,8,3,9,19,2.25
6,5,8,3,10,27,2.75
2,2,2,0,4,14,1.25
6,5,5,5,11,21,2.50
7,9,8,8,12,27,3.50
5,5,3,3,5,10,1.50
1,3,4,0,6,8,1.25
7,9,7,9,11,35,3.75
3,6,3,1,4,14,1.50
6,4,4,4,3,13,1.50
10,10,7,4,11,32,3.50
9,10,8,5,15,29,3.75
2,1,2,1,5,6,1.25
9,9,8,6,9,34,3.75
8,8,9,6,9,27,3.25
8,5,7,3,9,21,2.50
4,6,6,3,11,18,2.25
10,9,10,8,13,30,4.00
2,4,3,4,7,11,1.50
4,5,5,0,8,22,2.00
4,4,2,3,8,19,2.00
6,6,5,2,3,27,2.25
1,2,3,0,3,5,1.25
7,8,7,3,7,19,2.50
1,1,1,2,6,2,1.25
0,1,1,0,5,14,1.25
3,4,4,2,4,8,1.25
6,5,5,2,5,14,1.75
3,0,2,0,0,11,1.25
7,5,5,5,11,19,2.50
6,5,6,5,8,14,2.00
6,4,4,2,8,17,2.00
9,9,10,5,15,35,4.00
0,0,4,0,4,8,1.25
7,4,6,2,3,11,1.50
6,4,5,1,8,14,1.75
4,4,4,2,4,7,1.25
5,7,7,1,4,11,1.75
3,1,4,1,3,8,1.25
0,0,0,3,0,0,1.25
1,0,2,0,3,4,1.25
6,5,6,4,8,22,2.50
1,2,2,1,4,8,1.25
3,5,1,5,6,19,1.75
5,1,2,2,3,8,1.25
8,8,8,4,8,21,2.75
3,1,0,0,4,14,1.25
5,5,7,6,12,37,3.50
3,3,3,1,1,4,1.25
1,1,0,2,0,1,1.25
10,10,10,6,16,28,4.00
8,10,10,4,11,37,4.00
3,3,5,0,4,10,1.25
6,6,7,5,11,19,2.50
8,8,10,4,15,30,3.75
5,5,4,4,10,20,2.25
0,2,0,2,2,4,1.25
2,2,3,0,4,9,1.25
6,5,6,4,9,19,2.25
2,4,4,4,5,17,1.75
2,3,3,3,8,19,1.75
5,5,5,3,5,9,1.50
6,4,5,0,7,8,1.50
6,9,10,4,12,32,3.50
8,6,7,3,8,22,2.50
4,5,0,4,10,21,2.00
8,8,10,6,17,31,4.00
8,10,8,4,11,25,3.25
9,9,8,6,13,23,3.25
7,7,9,6,10,28,3.25
4,2,2,0,3,4,1.25
4,4,3,2,4,17,1.50
8,9,8,5,7,19,2.75
6,4,8,1,3,13,1.75
4,3,2,3,6,6,1.25
7,9,7,7,7,14,2.50
4,5,4,1,6,13,1.50
2,3,2,0,3,11,1.25
5,8,6,3,6,16,2.00
7,6,8,4,11,19,2.75
1,2,7,0,0,2,1.25
10,8,9,9,10,31,3.75
0,5,1,4,6,14,1.50
8,9,8,5,14,33,3.75
10,10,10,5,15,31,4.00
6,10,10,4,11,24,3.25
0,1,0,1,3,8,1.25
7,7,7,8,8,28,3.25
5,5,4,4,8,17,2.00
7,7,9,4,13,30,3.50
4,5,6,1,8,15,1.75
0,1,0,2,2,8,1.25
9,10,10,7,9,16,3.00
9,8,8,3,14,35,3.75
6,7,7,5,5,18,2.25
7,9,8,3,6,27,3.00
7,8,4,2,5,15,2.00
8,7,8,9,11,34,3.75
5,5,6,3,9,18,2.25
4,1,2,2,10,15,1.50
4,4,5,2,4,15,1.50
2,1,2,0,4,9,1.25
4,4,2,1,4,9,1.25
5,3,6,1,5,7,1.25
5,2,3,5,8,18,2.00
4,8,6,4,10,31,3.00
4,5,8,4,7,21,2.25
9,10,10,5,13,32,3.75
2,2,1,1,9,19,1.50
4,4,5,5,5,15,1.75
1,0,1,0,0,3,1.25
7,8,7,8,14,23,3.25
1,2,1,2,3,0,1.25
6,6,6,4,6,20,2.25
6,6,3,6,13,27,3.00
5,6,8,2,10,19,2.50
10,8,6,7,12,28,3.50
4,8,7,4,12,19,2.50
8,7,7,2,6,10,2.00
10,9,8,6,14,33,4.00
8,7,6,6,12,25,3.00
6,9,8,4,11,24,3.00
4,7,6,6,9,21,2.50
7,6,4,5,8,22,2.50
9,9,10,3,15,31,3.75
4,4,3,2,5,12,1.50
3,3,2,4,7,14,1.50
2,3,5,0,2,4,1.25
1,4,2,0,3,9,1.25
4,6,4,7,8,18,2.25
2,0,1,1,4,2,1.25
0,2,2,0,3,1,1.25
7,9,9,0,3,14,2.00
5,4,4,6,6,23,2.25
7,6,7,3,7,16,2.25
2,1,2,3,11,12,1.50
7,6,7,3,9,20,2.50
0,0,2,0,0,2,1.25
7,6,8,5,12,28,3.25
5,3,4,3,3,13,1.50
2,2,3,0,5,3,1.25
4,3,0,5,13,24,2.25
1,1,1,4,4,9,1.25
6,8,7,5,10,28,3.00
6,4,7,2,9,10,1.75
9,10,10,8,11,30,3.75
10,10,9,10,15,30,4.00
7,7,7,4,8,17,2.50
10,9,8,10,16,32,4.00
4,6,2,3,6,10,1.50
6,5,6,5,17,25,3.00
9,8,10,5,15,33,4.00
9,10,10,6,12,34,4.00
8,9,10,5,9,29,3.50
5,7,9,5,9,13,2.25
7,9,8,8,13,35,4.00
9,8,8,5,10,26,3.25
2,2,3,2,1,3,1.25
2,0,1,0,2,3,1.25
9,10,10,7,19,31,4.00
5,3,6,2,7,18,2.00
10,9,10,4,12,17,3.00
7,5,5,2,11,22,2.50
5,8,7,1,7,8,1.75
7,9,10,4,14,25,3.25
6,5,6,1,9,8,1.75
9,8,9,6,6,20,2.75
7,8,6,5,7,28,3.00
7,10,8,7,20,35,4.00
3,4,3,4,5,17,1.75
7,6,6,4,7,26,2.75
9,8,10,10,13,36,4.00
5,6,6,1,3,14,1.75
10,8,10,8,11,32,3.75
1,1,4,0,4,3,1.25
6,5,4,2,5,14,1.75
10,9,10,8,6,26,3.25
3,3,5,2,5,9,1.25
7,7,6,3,8,27,2.75
7,5,5,5,7,15,2.00
6,5,6,5,9,24,2.75
9,8,9,6,12,18,3.00
5,5,4,4,5,15,1.75
2,1,2,2,5,4,1.25
9,8,10,5,11,31,3.50
8,3,6,2,10,15,2.00
0,2,0,1,6,8,1.25
9,10,10,5,13,32,3.75
3,4,4,4,5,15,1.75
9,7,7,3,8,26,3.00
0,3,3,1,2,0,1.25
6,7,7,7,16,30,3.50
5,6,5,3,7,16,2.00
10,7,7,7,13,22,3.25
7,7,8,4,10,29,3.25
8,10,9,7,11,20,3.25
4,4,2,3,5,14,1.50
5,3,2,1,5,8,1.25
4,6,6,4,5,18,2.00
9,8,10,8,15,25,3.75
0,0,1,3,4,5,1.25
4,4,2,4,11,17,2.00
6,7,8,4,7,20,2.50
10,9,9,7,12,37,4.00
9,8,10,5,12,21,3.25
10,9,10,8,10,33,4.00
2,3,4,3,1,6,1.25
6,8,10,6,9,30,3.25
5,6,5,3,8,14,2.00
9,7,9,9,8,32,3.50
7,9,5,4,9,22,2.75
4,4,5,0,9,27,2.25
10,10,10,3,7,24,3.00
10,9,8,8,14,31,4.00
8,6,7,4,11,31,3.25
4,4,4,4,3,19,1.75
9,8,10,4,14,26,3.50
2,5,5,2,4,5,1.25
9,7,7,5,9,20,2.75
8,8,8,5,11,25,3.25
0,4,1,1,5,8,1.25
10,8,8,8,16,33,4.00
3,3,3,0,0,4,1.25
10,10,8,6,9,33,3.75
6,6,7,3,5,19,2.25
9,10,10,6,12,36,4.00
0,0,1,3,7,11,1.25
6,4,3,2,3,12,1.50
3,3,2,2,4,17,1.50
3,5,4,2,7,19,2.00
0,2,1,0,0,3,1.25
8,7,7,5,15,26,3.25
8,5,6,6,8,33,3.25
9,8,9,3,15,25,3.25
7,7,5,4,9,22,2.50
6,4,6,5,13,23,2.75
9,10,9,5,14,34,4.00
1,3,2,3,7,6,1.25
7,5,6,3,3,15,1.75
8,8,7,4,5,21,2.50
6,3,5,4,11,11,2.00
8,7,6,2,15,25,3.00
8,8,8,9,12,37,4.00
8,6,9,2,15,34,3.50
7,5,7,6,14,28,3.25
4,5,4,2,5,10,1.50
7,7,7,6,13,32,3.50
10,9,8,8,16,27,3.75
3,3,2,3,5,9,1.25
9,6,9,6,9,31,3.50
10,10,10,6,12,32,4.00
3,5,5,1,3,17,1.50
3,1,1,3,4,4,1.25
5,6,5,4,6,16,2.00
3,1,2,2,6,10,1.25
2,3,1,4,12,20,2.00
8,7,7,4,12,22,3.00
0,2,3,0,2,4,1.25
5,4,4,4,9,16,2.00
8,10,10,6,12,33,3.75
3,5,4,2,0,4,1.25
9,7,7,4,17,32,3.75
5,7,5,3,3,15,1.75
5,3,6,1,9,15,1.75
8,10,8,6,13,19,3.00
10,10,10,8,15,33,4.00
7,7,8,5,10,25,3.00
5,5,3,5,8,25,2.50
1,0,0,0,1,7,1.25
2,0,3,0,4,1,1.25
6,4,5,5,6,13,1.75
6,7,7,5,10,25,3.00
10,9,7,5,12,26,3.25
8,8,8,6,13,31,3.50
5,6,7,2,6,5,1.50
3,3,4,2,6,2,1.25
3,3,2,3,7,16,1.50
10,10,10,4,15,30,3.75
3,1,0,2,8,9,1.25
9,9,9,6,16,30,3.75
3,6,4,6,9,16,2.00
7,10,10,9,5,16,2.75
1,1,2,3,0,8,1.25
6,6,8,3,11,24,2.75
9,6,7,5,9,15,2.50
5,6,5,1,3,14,1.50
9,7,8,3,8,17,2.50
6,6,5,2,8,23,2.50
9,10,9,7,14,30,3.75
10,10,10,5,14,33,4.00
5,7,5,3,9,21,2.50
6,4,5,4,8,18,2.25
0,2,3,1,2,10,1.25
3,3,5,2,7,16,1.75
3,5,4,5,12,21,2.50
6,6,6,1,7,11,1.75
6,7,7,8,12,29,3.25
8,6,5,3,9,20,2.50
9,7,10,6,13,31,3.75
7,8,5,6,10,15,2.50
3,4,3,4,5,15,1.50
5,6,7,5,10,14,2.25
2,4,1,0,3,6,1.25
2,0,0,0,4,5,1.25
10,8,9,6,15,26,3.50
9,8,8,7,9,30,3.50
